INDEX,REGION,DISTRICT,SOURCE NAME,SOURCE TYPE,SETTLEMENT,LONG,LAT,,,
130,Lower Juba,Kismayo,Central,Borehole,Haadweyne,-0.3749412,42.2998591,,,
131,Lower Juba,Kismayo,Ceel Xagar,Borehole,Haadweyne,-0.3703686,42.3004651,,,
132,Lower Juba,Kismayo,Ceel Jaamac,Borehole,Haadweyne,-0.3717127,42.2990382,,,
133,Lower Juba,Kismayo,Beydan,Borehole,Haadweyne,-0.3756305,42.294357,,,
134,Lower Juba,Kismayo,Alla Yaasir,Borehole,Haadweyne,-0.3776498,42.2973021,,,
135,Lower Juba,Kismayo,Yamba,Borehole,Haadweyne,-0.3836496,42.3063861,,,
136,Lower Jubba,Kismayo,Janaa Cabdalla,Borehole,Janaa Cabdalla,0.0285256,42.2905428,,,
137,Lower Jubba,Kismayo,Marino1  IDPs,Shallow Well,Kismayo,0.366792,42.54996,,,
138,Lower Jubba,Kismayo,kibora,Shallow Well,Kismayo,0.367866,42.551492,,,
139,Lower Jubba,Kismayo,marina 2,Shallow Well,Kismayo,0.3598,42.552701,,,
140,Lower Jubba,Kismayo,Waamo 3,Shallow Well,Kismayo,0.3447983,42.5282484,,,
141,Lower Jubba,Kismayo,Nageye ,Shallow Well,Kismayo,0.3650898,42.5530837,,,
142,Lower Jubba,Kismayo,Soya ,Shallow Well,Kismayo,-0.3451071,42.5279701,,,
143,Lower Jubba,Kismayo,Qaamqaam1,Shallow Well,Kismayo,-0.216733,42.616472,,,
144,Lower Jubba,Kismayo,Qaamqaam2,Shallow Well,Kismayo,-0.216773,42.616611,,,
145,Lower Jubba,Kismayo,Qaamqaam3,Shallow Well,Kismayo,-0.21664,42.616491,,,
146,Lower Jubba,Kismayo,Qaamqaam4,Shallow Well,Kismayo,-0.216593,42.616667,,,
147,Lower Jubba,Kismayo,Qaamqaam5,Shallow Well,Kismayo,-0.21646,42.616587,,,
148,Lower Jubba,Kismayo,Qaamqaam6,Shallow Well,Kismayo,-0.216329,42.616597,,,
149,Lower Jubba,Kismayo,Qaamqaam7,Shallow Well,Kismayo,-0.216207,42.616599,,,
150,Lower Jubba,Kismayo,Qaamqaam8,Shallow Well,Kismayo,-0.216207,42.616776,,,
151,Lower Jubba,Kismayo,Qaamqaam9,Shallow Well,Kismayo,-0.213471,42.616792,,,
152,Lower Jubba,Kismayo,Buulo Ablic,Shallow Well,Kismayo,0.3409,42.5671,,,
153,Lower Jubba,Kismayo,Buulo Ablic,Shallow Well,Kismayo,0.341,42.567,,,
154,Lower Jubba,Kismayo,Buulo Ablic,Shallow Well,Kismayo,0.3413,42.5662,,,
155,Lower Jubba,Kismayo,Buulo Ablic,Shallow Well,Kismayo,0.3411,42.567,,,
156,Lower Jubba,Kismayo,Bilan,Shallow Well,Kismayo,0.342,42.5665,,,
157,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.3425,42.5685,,,
158,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.3425,42.5684,,,
159,Lower Jubba,Kismayo,Qoryoley,Shallow Well,Kismayo,0.3425,42.5683,,,
160,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3431,42.5678,,,
161,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3432,42.5673,,,
162,Lower Jubba,Kismayo,Buulo Malaay,Shallow Well,Kismayo,0.3436,42.5681,,,
163,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3469,42.5663,,,
164,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3402,42.5663,,,
165,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3404,42.5664,,,
166,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3401,42.566,,,
167,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3403,42.5662,,,
168,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3499,42.5622,,,
169,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3396,42.5658,,,
170,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3397,42.5657,,,
171,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3396,42.5669,,,
172,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3398,42.5657,,,
173,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3396,42.5661,,,
174,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3393,42.5656,,,
175,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3394,42.5662,,,
176,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3391,42.5661,,,
177,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3392,42.5662,,,
178,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3388,42.5659,,,
179,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3406,42.5665,,,
180,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3388,42.5663,,,
181,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3387,42.5663,,,
182,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.3387,42.5659,,,
183,Lower Jubba,Kismayo,Bariisay,Shallow Well,Kismayo,0.339,42.5658,,,
184,Lower Jubba,Kismayo,Buulo Ablic,Shallow Well,Kismayo,0.3424,42.5641,,,
